id;apodo;nombre;apellido;fecha_nacimiento
1;"KeV";migración ubiquitous algoritmo;Ladrillo;2021-06-26
2;"4sp";Toallas cohesiva;Account;2021-06-27
3;"LZS";IB;Irlanda Videojuegos Coordinador;2021-06-26
4;"Db6";indexing;copy;2021-06-27
5;"E";repurpose Granito;Murcia Parafarmacia;2021-06-26
6;"1wE";website;Home;2021-06-26
7;"WXh";Productor circuito;mobile Extramuros;2021-06-27
8;"oio";Artesanal Blanco Fantástico;deposit out-of-the-box;2021-06-26
9;"dV8";withdrawal;hacking;2021-06-27
10;"Wkt";CFA Videojuegos SCSI;withdrawal Navarra Borders;2021-06-26
